# Convergence Analysis with parameters:
#   scheme              : milstein
#   Final time T        : 3.000000
#   Number of particles : 10000
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   

  0.000244            0.065264            0.010163            0.047656            
  0.000488            0.109780            0.031211            0.114985            
  0.000977            0.188765            0.065221            0.269258            
  0.001953            0.281531            0.132341            0.476077            
  0.003906            0.424590            0.233533            0.784033            

# Order j             0.568 +- 0.016      0.485 +- 0.128      0.684 +- 0.036      
# Factor K            9.632 +- 0.732      2.845 +- 1.790      33.789 +- 5.661     
  0.000366            0.090665            0.022626            0.097083            
  0.000610            0.130765            0.041863            0.160074            
  0.000855            0.160040            0.062473            0.218520            
  0.001099            0.190918            0.076303            0.276596            
  0.001343            0.222338            0.100226            0.341196            
  0.001587            0.236336            0.107032            0.355384            
  0.001832            0.256516            0.118781            0.395756            
  0.002076            0.287938            0.143553            0.469218            
  0.002320            0.306177            0.156066            0.504257            
  0.002564            0.330650            0.171450            0.562184            
  0.002809            0.339233            0.176148            0.597183            
  0.003052            0.362933            0.187547            0.623256            
  0.003297            0.386163            0.202390            0.677756            
  0.003542            0.397545            0.215238            0.712995            
  0.003788            0.415266            0.226943            0.753593            
  0.004032            0.429232            0.235191            0.779500            
  0.004274            0.439351            0.242862            0.801167            
  0.004518            0.459205            0.252529            0.857612            
  0.004762            0.474499            0.257224            0.870661            
  0.005008            0.483381            0.270847            0.891471            

# Order j             0.621 +- 0.007      0.803 +- 0.021      0.788 +- 0.015      
# Factor K            13.122 +- 0.520     19.527 +- 2.288     59.635 +- 5.030     
# Order j             0.575 +- 0.007      0.515 +- 0.048      0.707 +- 0.013      
# Factor K            10.065 +- 0.369     3.577 +- 0.936      37.721 +- 2.490     
# Order j             0.575 +- 0.007      0.515 +- 0.048      0.707 +- 0.013      
# Factor K            10.065 +- 0.369     3.577 +- 0.936      37.721 +- 2.490     
# Order j             0.621 +- 0.007      0.825 +- 0.021      0.792 +- 0.017      
# Factor K            13.163 +- 0.545     22.167 +- 2.598     61.439 +- 5.894     
  0.000366            0.089768            0.020121            0.080270            
  0.000610            0.128915            0.035887            0.160970            
  0.000855            0.165961            0.058124            0.225333            
  0.001099            0.195804            0.075372            0.273243            
  0.001343            0.222963            0.095054            0.336116            
  0.001587            0.245565            0.110247            0.381718            
  0.001832            0.275024            0.128113            0.432535            
  0.002076            0.288937            0.140197            0.476644            
  0.002320            0.318086            0.166503            0.540765            
  0.002564            0.342931            0.173195            0.603453            
  0.002809            0.352258            0.179565            0.625533            
  0.003052            0.369467            0.192067            0.632640            
  0.003297            0.393399            0.216539            0.708371            
  0.003542            0.398752            0.217989            0.711132            
  0.003788            0.412198            0.233980            0.755688            
  0.004032            0.436518            0.238741            0.813835            
  0.004274            0.452992            0.260635            0.843906            
  0.004518            0.455632            0.255657            0.843194            
  0.004762            0.470484            0.275460            0.890374            
  0.005008            0.478350            0.275090            0.880874            

# Order j             0.599 +- 0.011      0.833 +- 0.027      0.766 +- 0.024      
# Factor K            11.765 +- 0.766     23.861 +- 3.703     54.071 +- 7.307     
# Order j             0.612 +- 0.007      0.830 +- 0.017      0.781 +- 0.014      
# Factor K            12.574 +- 0.484     23.062 +- 2.271     58.277 +- 4.769     
  0.000366            0.089561            0.018272            0.089514            
  0.000610            0.128914            0.042662            0.174523            
  0.000855            0.161833            0.054563            0.226440            
  0.001099            0.194572            0.074740            0.277607            
  0.001343            0.209687            0.086672            0.306828            
  0.001587            0.241009            0.099190            0.371700            
  0.001832            0.264586            0.119599            0.419612            
  0.002076            0.287811            0.132351            0.467617            
  0.002320            0.303076            0.145230            0.503096            
  0.002564            0.321863            0.156532            0.527101            
  0.002809            0.351750            0.175414            0.593727            
  0.003052            0.365809            0.191466            0.639477            
  0.003297            0.373691            0.195849            0.639777            
  0.003542            0.399129            0.209005            0.709681            
  0.003788            0.416972            0.221097            0.733104            
  0.004032            0.418179            0.222964            0.758967            
  0.004274            0.435209            0.236150            0.792939            
  0.004518            0.458593            0.252655            0.841503            
  0.004762            0.477782            0.269853            0.894009            
  0.005008            0.498066            0.287707            0.926032            

# Order j             0.626 +- 0.009      0.881 +- 0.019      0.798 +- 0.013      
# Factor K            13.541 +- 0.662     29.966 +- 3.192     62.854 +- 4.574     
  0.000366            0.088183            0.022464            0.093436            
  0.000610            0.132071            0.040654            0.174813            
  0.000855            0.163972            0.054684            0.228858            
  0.001099            0.198476            0.081755            0.287740            
  0.001343            0.227587            0.101029            0.353139            
  0.001587            0.249817            0.111977            0.391170            
  0.001832            0.271094            0.124330            0.445907            
  0.002076            0.290585            0.137926            0.474064            
  0.002320            0.308021            0.147002            0.509711            
  0.002564            0.336401            0.170887            0.570229            
  0.002809            0.349349            0.180190            0.601342            
  0.003052            0.369967            0.193369            0.655914            
  0.003297            0.388213            0.211869            0.689930            
  0.003542            0.406200            0.217986            0.724243            
  0.003788            0.410390            0.222241            0.735301            
  0.004032            0.441786            0.241210            0.813523            
  0.004274            0.446012            0.242892            0.825229            
  0.004518            0.465218            0.256962            0.868527            
  0.004762            0.473339            0.268398            0.876583            
  0.005008            0.483187            0.270111            0.899042            

# Order j             0.605 +- 0.009      0.816 +- 0.023      0.759 +- 0.015      
# Factor K            12.167 +- 0.635     21.195 +- 2.725     51.846 +- 4.540     
  0.000366            0.089574            0.019798            0.091084            
  0.000610            0.129327            0.040401            0.151135            
  0.000855            0.166519            0.063649            0.233211            
  0.001099            0.194207            0.074099            0.285224            
  0.001343            0.220122            0.093299            0.330796            
  0.001587            0.236637            0.107863            0.370419            
  0.001832            0.259956            0.124956            0.423281            
  0.002076            0.282294            0.140655            0.458491            
  0.002320            0.310247            0.159378            0.515516            
  0.002564            0.323660            0.166003            0.543778            
  0.002809            0.347813            0.187206            0.590784            
  0.003052            0.369641            0.196672            0.636586            
  0.003297            0.384249            0.208192            0.689273            
  0.003542            0.392090            0.214721            0.699685            
  0.003788            0.403450            0.218156            0.729898            
  0.004032            0.424913            0.234798            0.763286            
  0.004274            0.443969            0.256394            0.802043            
  0.004518            0.456878            0.263533            0.834010            
  0.004762            0.462218            0.264655            0.849897            
  0.005008            0.484673            0.277248            0.887555            

# Order j             0.611 +- 0.008      0.829 +- 0.023      0.765 +- 0.015      
# Factor K            12.350 +- 0.580     22.999 +- 2.999     52.019 +- 4.404     
  0.000366            0.086865            0.019700            0.080470            
  0.000610            0.129353            0.040439            0.151851            
  0.000855            0.159716            0.057115            0.202864            
  0.001099            0.182478            0.069101            0.258642            
  0.001343            0.211287            0.087399            0.317206            
  0.001587            0.237133            0.102186            0.357767            
  0.001832            0.260503            0.110772            0.413345            
  0.002076            0.280433            0.129261            0.461898            
  0.002320            0.302489            0.148085            0.498362            
  0.002564            0.320102            0.158179            0.544942            
  0.002809            0.341752            0.175892            0.592656            
  0.003052            0.358716            0.190860            0.623984            
  0.003297            0.375844            0.205213            0.662966            
  0.003542            0.384723            0.207958            0.678906            
  0.003788            0.404290            0.220052            0.752059            
  0.004032            0.416245            0.226698            0.752763            
  0.004274            0.432956            0.234441            0.780972            
  0.004518            0.444769            0.252855            0.826122            
  0.004762            0.463771            0.270457            0.884300            
  0.005008            0.469547            0.267683            0.876392            

# Order j             0.613 +- 0.007      0.866 +- 0.022      0.798 +- 0.017      
# Factor K            12.316 +- 0.501     27.302 +- 3.393     62.198 +- 6.134     
  0.000366            0.086789            0.018270            0.076675            
  0.000610            0.132277            0.043463            0.157238            
  0.000855            0.168088            0.057682            0.229838            
  0.001099            0.198942            0.074970            0.285931            
  0.001343            0.220066            0.093692            0.329896            
  0.001587            0.245365            0.109423            0.382898            
  0.001832            0.265309            0.121104            0.417411            
  0.002076            0.289626            0.130085            0.459470            
  0.002320            0.302202            0.143843            0.500161            
  0.002564            0.331019            0.167569            0.543314            
  0.002809            0.343947            0.171762            0.579157            
  0.003052            0.366189            0.194724            0.615040            
  0.003297            0.382552            0.201234            0.666714            
  0.003542            0.397172            0.204200            0.701174            
  0.003788            0.414689            0.223070            0.732129            
  0.004032            0.424491            0.225196            0.750592            
  0.004274            0.448334            0.248847            0.787544            
  0.004518            0.456815            0.252945            0.837024            
  0.004762            0.469728            0.261729            0.857085            
  0.005008            0.480296            0.263316            0.884373            

# Order j             0.605 +- 0.007      0.828 +- 0.023      0.770 +- 0.014      
# Factor K            12.043 +- 0.505     22.197 +- 2.844     53.145 +- 4.110     
  0.000366            0.085468            0.025663            0.098103            
  0.000610            0.125543            0.041379            0.171280            
  0.000855            0.155357            0.057383            0.211863            
  0.001099            0.188476            0.075316            0.275670            
  0.001343            0.213503            0.089749            0.310890            
  0.001587            0.235758            0.106297            0.357658            
  0.001832            0.255327            0.120921            0.409738            
  0.002076            0.281225            0.132697            0.462269            
  0.002320            0.305766            0.157510            0.501896            
  0.002564            0.319104            0.163612            0.570409            
  0.002809            0.334955            0.181186            0.571805            
  0.003052            0.353392            0.194809            0.612070            
  0.003297            0.372590            0.199909            0.679073            
  0.003542            0.390047            0.216704            0.728239            
  0.003788            0.407510            0.228676            0.739246            
  0.004032            0.431775            0.237623            0.777612            
  0.004274            0.435414            0.247222            0.790457            
  0.004518            0.450601            0.254357            0.848254            
  0.004762            0.472071            0.278737            0.886338            
  0.005008            0.480236            0.276794            0.928793            

# Order j             0.632 +- 0.006      0.853 +- 0.018      0.807 +- 0.014      
# Factor K            13.796 +- 0.494     26.254 +- 2.648     66.611 +- 5.113     
  0.000366            0.093671            0.024052            0.105952            
  0.000610            0.131095            0.040574            0.169035            
  0.000855            0.167065            0.060868            0.233415            
  0.001099            0.192178            0.081525            0.283518            
  0.001343            0.226289            0.099299            0.356099            
  0.001587            0.246414            0.118090            0.399039            
  0.001832            0.268622            0.121308            0.442951            
